# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:Pu'
# Event count (approx.): 3207605687
#
# Overhead  Command  Shared Object         Symbol                       
# ........  .......  ....................  .............................
#
    97.99%  hw1      hw1                   [.] vm_multiply
     0.63%  hw1      libc.so.6             [.] __random_r
     0.62%  hw1      libc.so.6             [.] __random
     0.26%  hw1      hw1                   [.] initialize
     0.21%  hw1      hw1                   [.] rand@plt
     0.20%  hw1      [unknown]             [k] 0xffffffff8c20115e
     0.07%  hw1      libc.so.6             [.] rand
     0.02%  hw1      [unknown]             [k] 0xffffffff8c2001c4
     0.00%  hw1      ld-linux-x86-64.so.2  [.] update_active.constprop.0


#
# (Tip: Show current config key-value pairs: perf config --list)
#
